Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,,,,53,,1073,,9975,14,22,,Korea (Rep. of),Metal
China (People's Republic of),740,13,,,,,,,,10,,Korea (Rep. of),Metal
Taiwan,23,,300,535,278,225,1110,,,7,,Korea (Rep. of),Metal
Germany,,,1,1,177,,45,7,,4,,Korea (Rep. of),Metal
Japan,2,,40,,,,,1,,2,,Korea (Rep. of),Metal
Thailand,,,,,,,,,,,,Korea (Rep. of),Metal
Singapore,,,,,,17000,44000,204,30,,,Korea (Rep. of),Metal
Russian Federation,,,,,,,,,,,,Korea (Rep. of),Metal
Philippines,,,,23,46,151,,108,,,,Korea (Rep. of),Metal
Netherlands,,7000,10000,,,,,,,,,Korea (Rep. of),Metal
Malaysia,2000,,,,,,,,,,,Korea (Rep. of),Metal
India,,,,10100,,,1000,,,,,Korea (Rep. of),Metal
Indonesia,,181,,202,,,,,,,,Korea (Rep. of),Metal
Hong Kong,,,,,,,,,1080,,,Korea (Rep. of),Metal
United Kingdom,,,,,,,,354,373,,,Korea (Rep. of),Metal
