Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Belgium,800,,,400,5800,,2100,500,,10000,,Germany,Metal
South Africa,18047,4,1,1,510,209,20,6,469,7906,,Germany,Metal
Poland,,,2000,6000,,,,65,76,3816,,Germany,Metal
France,50603,3529,274,49,99316,49,522,337,587,2707,,Germany,Metal
Korea (Rep. of),2000,6000,238,3600,4800,3700,4012,3610,1112,2605,,Germany,Metal
Finland,2,553,9,1521,2007,15,1,1004,,1502,,Germany,Metal
Norway,,,,,,2,,3,,710,,Germany,Metal
Italy,45498,28815,2248,113,73,47,349,7,540,685,,Germany,Metal
Ireland,,,,,,,,,,658,,Germany,Metal
Singapore,,,,,,29,1,,200,382,,Germany,Metal
Czech Republic,900,100,400,10300,31300,1900,,26,45,316,,Germany,Metal
Turkey,1370,133,918,1460,2911,2,23,258,107,218,,Germany,Metal
Mexico,,,,,,,,,,215,,Germany,Metal
Romania,,,,,,,,,,182,,Germany,Metal
Greece,,,68400,,,,,1,,150,,Germany,Metal
Luxembourg,100,100,,100,,100,100,,,105,,Germany,Metal
United States,2,5,,70,,228,,53,25,54,,Germany,Metal
United Kingdom,15,19,17,5017,13,4332,9831,1059,22,48,,Germany,Metal
Slovakia,,,,,,,,3,7,28,,Germany,Metal
Switzerland,,39,,1,45,1,1,102,5,25,,Germany,Metal
Hungary,,,,,,,,3,1,24,,Germany,Metal
Sweden,1200,1100,,100,1000,500,800,229,110,14,,Germany,Metal
Netherlands,,,100,,1000,100,300,2,7,6,,Germany,Metal
India,2135,338,806,289,502,65,78,523,52,6,,Germany,Metal
Iceland,,,,21092,,,,,,2,,Germany,Metal
Canada,40,,,1,,,536,,1,2,,Germany,Metal
Serbia,,,,,,,2,,,1,,Germany,Metal
Spain,,2,3,1,4,4,4,2,1,1,,Germany,Metal
Australia,,,,,,,,,,1,,Germany,Metal
Viet-Nam,,,,,,0,,,,,,Germany,Metal
Venezuela,,,,12,,,,,,,,Germany,Metal
Ukraine,,,,,,,,,,,,Germany,Metal
Tanzania (United Rep. of),,,,,,71,,,,,,Germany,Metal
Taiwan,,4,496,2,,1336,16,,,,,Germany,Metal
Togo,,,,,,,,60,,,,Germany,Metal
Slovenia,,,2200,,2500,3000,3000,2000,2000,,,Germany,Metal
Russian Federation,,,50,,,,,,,,,Germany,Metal
Qatar,,,,,,,2500,,,,,Germany,Metal
Portugal,,,,,,100,300,200,,,,Germany,Metal
Philippines,,,,,,,,42066,,,,Germany,Metal
New Zealand,,,,,,,,,,,,Germany,Metal
Malaysia,1000,,,,2275,,600,50000,72,,,Germany,Metal
Morocco,,,,,,,,,,,,Germany,Metal
Latvia,,,,,,,,,,,,Germany,Metal
Lithuania,,,,,500,,,1,,,,Germany,Metal
Japan,,,,,,,,,,,,Germany,Metal
Iran (Islamic Rep. of),,,,,,,,200,,,,Germany,Metal
Israel,,,,,,,,,,,,Germany,Metal
Indonesia,,2736,,1000,,,,,,,,Germany,Metal
Croatia,,,,,,,,,,,,Germany,Metal
Hong Kong,3,,,,,,,,,,,Germany,Metal
Georgia,,,,,,,,,,,,Germany,Metal
Algeria,2,,,,,,,,,,,Germany,Metal
Denmark,,,,,,100,200,250,2,,,Germany,Metal
Cyprus,100,,,,,,,,,,,Germany,Metal
Costa Rica,1,,,,,,,,,,,Germany,Metal
Colombia,,,,,,,,,1,,,Germany,Metal
China (People's Republic of),1,6,124,31,,,,1,,,,Germany,Metal
Brazil,,,,150,250,450,250,63382,63650,,,Germany,Metal
Bulgaria,,1000,1400,700,,,,25,25,,,Germany,Metal
