Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United Kingdom,3759,4496,87,30902,27903,5158,79487,28407,40846,26708,,Netherlands,Oxide
Czech Republic,11500,13000,7500,14800,4900,216500,9500,4500,4350,23471,,Netherlands,Oxide
Italy,6530,16066,2018,97,16201,50204,244953,56801,13600,17025,,Netherlands,Oxide
Philippines,,,,,,,,,,11133,,Netherlands,Oxide
Spain,,1502,,5,17250,50,37478,25075,,6000,,Netherlands,Oxide
Poland,6200,13300,4400,33300,33000,12500,600,,6150,4264,,Netherlands,Oxide
France,7060,36265,17,1046,14649,1280,400,2244,1120,1000,,Netherlands,Oxide
Belgium,39800,57600,134500,78500,23000,36300,37200,800,200,800,,Netherlands,Oxide
Romania,,,,,,,,,,500,,Netherlands,Oxide
Germany,3100,14085,10305,32946,55599,122702,76984,7026,29,448,,Netherlands,Oxide
China (People's Republic of),20,122160,5,18000,1,,,40,320,343,,Netherlands,Oxide
Portugal,,,,500,400,3800,1200,50,,151,,Netherlands,Oxide
Russian Federation,10000,22000,10000,49500,9000,,755,748,,106,,Netherlands,Oxide
Japan,,72,20,10022,50,211,305,211,164,31,,Netherlands,Oxide
Ireland,,,,,,,6,39,39,26,,Netherlands,Oxide
Luxembourg,,,,,,,,,300,4,,Netherlands,Oxide
United States,10,5040,,10186,700,74,60,2004,2,2,,Netherlands,Oxide
Taiwan,,,20400,,,,,3000,,1,,Netherlands,Oxide
Korea (Rep. of),,,,,,,,,,1,,Netherlands,Oxide
Switzerland,,,368,,,,50,100,,1,,Netherlands,Oxide
South Africa,500,,4668,5020,9000,,,,,,,Netherlands,Oxide
Serbia,,2,,3,1,5,,2,,,,Netherlands,Oxide
Viet-Nam,,,,,,11995,7000,,,,,Netherlands,Oxide
Tanzania (United Rep. of),,,,,,,,,20,,,Netherlands,Oxide
Turkey,6,1,5,4,22505,1,,,,,,Netherlands,Oxide
Thailand,480,26760,15300,2700,,1000,,,500,,,Netherlands,Oxide
Slovenia,,,,,,,100,103,,,,Netherlands,Oxide
Sweden,,,,,,500,,,,,,Netherlands,Oxide
Saudi Arabia,60000,,48000,,,24000,,,,,,Netherlands,Oxide
Norway,,,,1908,,,1106,2,,,,Netherlands,Oxide
Malaysia,,1205,12000,,,,,100,,,,Netherlands,Oxide
Mexico,5390,5335,4655,,,,,,,,,Netherlands,Oxide
Lithuania,,,,,6600,2000,,,,,,Netherlands,Oxide
India,5001,300,,500,6557,,,,,,,Netherlands,Oxide
Hungary,65900,60500,24700,30100,9700,1200,500,,4320,,,Netherlands,Oxide
Croatia,,,,,,,,,,,,Netherlands,Oxide
Greece,,,,,,,,,,,,Netherlands,Oxide
Finland,1292,22,1,,,,2000,10,450,,,Netherlands,Oxide
Estonia,,3400,,,,,,,,,,Netherlands,Oxide
Algeria,1,,,,,,,,,,,Netherlands,Oxide
Denmark,,,300,1000,,,,,,,,Netherlands,Oxide
Costa Rica,,,,,,,,,9,,,Netherlands,Oxide
Colombia,,,,,,500,,,,,,Netherlands,Oxide
Argentina,,10,,,,,,,,,,Netherlands,Oxide
