Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Canada,257424,333457,368094,482533,175394,696840,662242,801878,540326,871729,4567015,United States,Metal
United Kingdom,210832,282783,84604,435769,511853,446101,610814,262611,181419,179698,96007,United States,Metal
France,40124,59749,100530,36011,18390,23452,24678,45158,71404,82609,40705,United States,Metal
Belgium,16500,15200,83700,23800,22700,85600,118400,83700,55100,39100,32900,United States,Metal
South Africa,18659,17307,4042,24,3462,21130,58745,82831,146784,37224,32818,United States,Metal
Russian Federation,,,,30194,12,211,,1000,3,2,26756,United States,Metal
China (People's Republic of),25391,88499,181254,651151,173070,118581,105639,57574,78988,108573,26434,United States,Metal
Netherlands,3981000,4277500,2594700,2242900,46800,1559600,1513300,100871,4026,3089,23479,United States,Metal
Mexico,180268,131412,81917,120114,99123,285967,131898,93546,82036,64760,22278,United States,Metal
Japan,295731,223572,187738,191494,195567,205116,249499,343765,59549,16047,21285,United States,Metal
Singapore,,,,,314846,506380,97686,68485,11943,1938,15410,United States,Metal
Saudi Arabia,34000,2153000,2763000,3265000,4225000,159000,94000,24000,138000,105000,13000,United States,Metal
Australia,11404,13935,20757,25761,20707,30141,56334,149540,27789,17370,12013,United States,Metal
Venezuela,,,,6119,4,29,15035,14089,5412,33423,8971,United States,Metal
India,55226,103108,203590,115039,184933,177367,96413,29164,50748,51123,5060,United States,Metal
Korea (Rep. of),170150,218333,332568,12787,8083,3439,39380,24119,27228,36241,4061,United States,Metal
Austria,100,300,500,2000,5700,1700,,5600,,4700,2800,United States,Metal
Hong Kong,4602,2700,11848,30893,97667,331933,62079,9517,5509,4882,2025,United States,Metal
Ecuador,5080,2340,2620,2630,2890,90,190,2690,100,2400,1140,United States,Metal
Italy,2323,5148,825,3388,2634,16299,20743,4941,5990,24452,818,United States,Metal
Peru,25017,47338,89536,42216,44505,12075,14348,2,,,567,United States,Metal
Guatemala,,1561,10261,348,1956,1863,2484,4273,8419,6413,543,United States,Metal
Malaysia,3718,8560,916,22665,90941,9100,164974,3932,462,1505,500,United States,Metal
Bahrain,,,,,,,,1,,,346,United States,Metal
Germany,655200,667960,373184,552260,538317,522773,491081,70509,2338,5653,239,United States,Metal
Brazil,41019,46935,21191,369728,468386,85000,356520,562778,274891,493271,218,United States,Metal
Ghana,,,,25,24,26,34,8,32056,6182,101,United States,Metal
Slovakia,200,300,300,200,300,300,700,751,858,,80,United States,Metal
Qatar,119682,225430,348413,525614,44915,24047,11437,3789,93,462,74,United States,Metal
Malta,,,,,,,,70,82,28,34,United States,Metal
Algeria,388,161,,7,2250,3,95,,6,3,25,United States,Metal
Sweden,100,200,100,,,100,,239,615,37,20,United States,Metal
