Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Japan,540671,,,33700,59222,100,55,10806,60969,285764,283314,India,Oxide
China (People's Republic of),,,,,,24100,1,,352,27106,78001,India,Oxide
Malaysia,26500,44250,44700,79800,2372,,,54,,,20000,India,Oxide
Nigeria,,,,,,,,,,,14031,India,Oxide
Russian Federation,,,,,,,300,16662,20000,,10000,India,Oxide
France,,,,,,,,1,1,16,6007,India,Oxide
Thailand,,1,16,22,9,7,20,14,29,16,3002,India,Oxide
Germany,,,,305,22086,76243,13052,3219,2375,4912,2423,India,Oxide
Australia,3500,30,,,50,500,1000,100,,50,1300,India,Oxide
Korea (Rep. of),,,,50,1525,2,1,553,49,211,512,India,Oxide
Czech Republic,,,,,,,,,,100,100,India,Oxide
Belgium,,,,100,1100,1300,600,300,,200,100,India,Oxide
United Kingdom,,,,,,,25,9,70,102,75,India,Oxide
Brazil,,,,,25,2,5,12,31,170,27,India,Oxide
Costa Rica,,,,,,,,12,13,,19,India,Oxide
Canada,33,1,9,5,176,25,19,11,2,12,19,India,Oxide
Iran (Islamic Rep. of),,,,,,,,100,,1401,11,India,Oxide
Turkey,,,,,,11,,,15,40,7,India,Oxide
Spain,,,,,,,,502,,1100,5,India,Oxide
Switzerland,,,1636,,,,,,,1,4,India,Oxide
Singapore,,,,,20,,1,1,8,6,2,India,Oxide
Zambia,,,,10,,,,,,,,India,Oxide
South Africa,,,,36,200,795,3285,,,,,India,Oxide
Serbia,,,,,,,,,2,,,India,Oxide
Viet-Nam,,,,,,,45068,42770,,,,India,Oxide
Venezuela,,,,197,13,,,,,,,India,Oxide
United States,132,1570,85,165,191951,214,1383,2598,510,3194,,India,Oxide
Ukraine,,,,,,,10,,,10,,India,Oxide
Tanzania (United Rep. of),,,,,,50000,10,31,,,,India,Oxide
Taiwan,,,,1,5,,1,,,,,India,Oxide
Sweden,,,,,,,,,,1,,India,Oxide
Saudi Arabia,,,,,,,2000,,,,,India,Oxide
Qatar,,,,3,,,86,,1,,,India,Oxide
Poland,,,,,,,,24,24,,,India,Oxide
Philippines,,,,,55,,,,,,,India,Oxide
New Zealand,,3,,10,,1,,1,1,,,India,Oxide
Netherlands,,,,,2400,7100,,,1,,,India,Oxide
Mexico,,3,3,,,200,201,206,202,100,,India,Oxide
Morocco,,2,,,,,241,360,418,137,,India,Oxide
Kenya,,,,,400,59,6,5,,100,,India,Oxide
Jordan,,438,1,,,2,,,,,,India,Oxide
Iceland,,,4,19,1496,,,,,,,India,Oxide
Israel,,,,,,,,,,,,India,Oxide
Ireland,,,22,,,,,,,,,India,Oxide
Indonesia,,,,,,,,50,1355,2250,,India,Oxide
Hungary,,,,,,,,25,,,,India,Oxide
Croatia,,,,,,,,,,,,India,Oxide
Hong Kong,,,,,,5000,,,,,,India,Oxide
Ghana,,,,,24,60,122,26,192,182,,India,Oxide
Ethiopia,,,,,,,,1254,,125,,India,Oxide
Egypt,,1000,19506,,,,,,,,,India,Oxide
Ecuador,,,,,30,,160,,,30,,India,Oxide
Algeria,,,248,,,,,,9,,,India,Oxide
Denmark,,,144000,,,,,,,,,India,Oxide
Colombia,,,,,,,,,,18,,India,Oxide
Belarus,,,,,,,,,5,,,India,Oxide
Argentina,,,,,1,8,5,9,4,3,,India,Oxide
