Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Japan,1245364,1712312,1372999,2758465,2603667,2466000,2549973,3351718,5885993,5905053,,France,Oxide
United States,640643,427434,350005,573354,593644,1041334,410751,343090,487941,713708,,France,Oxide
Korea (Rep. of),67887,57852,132950,267148,400844,337331,345637,352181,350720,533796,,France,Oxide
Germany,367700,470675,302765,423716,883379,652804,842399,355859,424705,463768,,France,Oxide
China (People's Republic of),918120,483763,447234,622215,646536,468588,1042513,217247,150727,292173,,France,Oxide
Italy,217599,279095,193745,191004,72084,69575,55408,104586,155726,95374,,France,Oxide
India,37730,38516,57124,76163,118646,95934,88410,84842,81520,73700,,France,Oxide
Belgium,167900,54800,139300,98400,23600,6500,900,4400,26600,52200,,France,Oxide
United Kingdom,69912,81552,20915,48251,274205,1180,6757,131204,262567,51543,,France,Oxide
Poland,47400,78200,14200,17100,2000,5000,4400,1709,48,28252,,France,Oxide
Singapore,,,,,7002,174836,1941,5140,1946,12780,,France,Oxide
Spain,164168,96745,191950,177432,324453,172978,344300,166744,14175,12751,,France,Oxide
Malaysia,15720,50340,23420,88560,176300,49140,38774,10949,8420,11020,,France,Oxide
Hungary,75600,48500,24200,29200,25500,23700,15500,14940,6902,8720,,France,Oxide
South Africa,135607,112453,30518,38144,49906,28260,12223,7261,40,6590,,France,Oxide
Senegal,,,,,,501,,13,,4880,,France,Oxide
Serbia,1600,1000,300,580,260,340,240,1800,1741,3761,,France,Oxide
Argentina,14594,17119,20967,24376,18202,14640,9842,2840,1323,2740,,France,Oxide
Russian Federation,62660,3256,,,,4620,10673,8270,2342,2181,,France,Oxide
Slovenia,1500,1400,1000,500,,200,,100,643,2174,,France,Oxide
Luxembourg,,,,,1000,,,,2100,2000,,France,Oxide
Brazil,46037,27181,21300,32520,39491,45489,32918,18140,4488,1760,,France,Oxide
Hong Kong,40747,20357,29438,8043,100,,1941,695,98424,1280,,France,Oxide
Belarus,,,,,,,1920,1280,,1280,,France,Oxide
Canada,9544,2856,1027,939,1664,4035,1421,1081,995,1264,,France,Oxide
Mexico,21915,8963,7141,10070,12260,7180,3340,3853,1930,900,,France,Oxide
Norway,1,5,4,3,172,39,,54,1449,651,,France,Oxide
Indonesia,1640,2920,,,360,1280,10762,10428,640,640,,France,Oxide
Switzerland,18057,12748,6043,11686,5905,2973,1323,3551,3642,566,,France,Oxide
Czech Republic,23300,13600,2800,10300,11900,9600,5700,6425,8420,313,,France,Oxide
France,133540,89645,11732,8669,4872,72754,5,1282,23,300,,France,Oxide
Ukraine,340,300,280,566,403,840,,120,260,240,,France,Oxide
Turkey,27760,29152,19060,13540,1071,1447,360,340,183,164,,France,Oxide
Lithuania,,,,,,,100,150,100,100,,France,Oxide
Portugal,3300,3800,3800,2500,1300,200,100,121,29,55,,France,Oxide
Netherlands,262200,120900,17300,3400,1700,2900,500,406,1222,53,,France,Oxide
Morocco,7896,8557,2653,4365,509,99,199,203,13,45,,France,Oxide
Chile,692,,,,60,,120,,,40,,France,Oxide
Romania,2200,800,1200,800,200,,100,50,,22,,France,Oxide
Denmark,900,100,,,,,,17,2,7,,France,Oxide
Sweden,44700,60700,47500,49600,51000,32500,2500,4005,2002,3,,France,Oxide
Algeria,5,15,6,640,,67,38,400,1,3,,France,Oxide
Cyprus,,,,,,,,1,,1,,France,Oxide
Viet-Nam,,,,,,,,0,,,,France,Oxide
Tanzania (United Rep. of),,,,,10800,,,,,,,France,Oxide
Taiwan,76320,50864,10464,9612,301,,,19,371,,,France,Oxide
Thailand,,1020,250,550,2400,5900,2500,5000,2500,,,France,Oxide
El Salvador,,4,5,,,,,,,,,France,Oxide
Slovakia,,,,,,,,,,,,France,Oxide
Qatar,,,33,,,1400,1,,,,,France,Oxide
Philippines,,,,1370,,,,,,,,France,Oxide
Peru,25,,9,,,6,,,,,,France,Oxide
New Zealand,2,,,,,,,,,,,France,Oxide
Malta,,,,,,,,,80,,,France,Oxide
Kazakhstan,,,,,,,,,,,,France,Oxide
Kenya,,,,,,,,,48,,,France,Oxide
Jordan,,,,,,,12,,,,,France,Oxide
Iceland,,,,,,14,,,,,,France,Oxide
Israel,,,,,,,,,,,,France,Oxide
Ireland,40,200,200,656,,,690,,,,,France,Oxide
Croatia,,,,,,,,,,,,France,Oxide
Greece,,600,,,,,,8,,,,France,Oxide
Finland,20,21,640,6800,20401,3404,16,73,,,,France,Oxide
Egypt,,,,1317,339,3176,,,,,,France,Oxide
Costa Rica,,,,,,,,25,,,,France,Oxide
Colombia,,,,,,3,2,1,,,,France,Oxide
C?te d'Ivoire,,,,,,,1,,,,,France,Oxide
Bolivia,23,,,,,,,,,,,France,Oxide
Australia,1280,,,240,,,,,,,,France,Oxide
