Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Netherlands,,,,,2000,200,,,16,1469114,,Belgium,Metal
Philippines,,,,,,,,,,35400,,Belgium,Metal
Sweden,24900,,200,,3000,,,13,502,1002,,Belgium,Metal
United States,,,,,,,,,200,500,,Belgium,Metal
Australia,,,,,,,,,,240,,Belgium,Metal
United Kingdom,112,51,41,69,60,93,57,159,26,32,,Belgium,Metal
Canada,,,,,,,,,2,8,,Belgium,Metal
Germany,11000,6392,88,102,4972,,,396,,5,,Belgium,Metal
New Zealand,,,1,,,7,7,14,17,3,,Belgium,Metal
Japan,,,,,,,,,,2,,Belgium,Metal
Italy,604,4,2,5,1000,,,,1,2,,Belgium,Metal
India,,,,2,2642,7,37,5,5,1,,Belgium,Metal
South Africa,9926,3,1,,,,,,,,,Belgium,Metal
Serbia,2,,,,1,,1,,,,,Belgium,Metal
Viet-Nam,,,,,,0,,,,,,Belgium,Metal
Taiwan,1,3,3,3,5,6,6,1,2,,,Belgium,Metal
Turkey,6050,5100,4500,1500,2000,,,2,,,,Belgium,Metal
Thailand,,,,,,,,,,,,Belgium,Metal
Slovenia,,,,,,,,1,,,,Belgium,Metal
Singapore,,,,,,,2,,1,,,Belgium,Metal
Romania,,,,,,,,,,,,Belgium,Metal
Portugal,,,,,,,,,1,,,Belgium,Metal
Poland,,,,,,,,1,,,,Belgium,Metal
Luxembourg,,,,2500,800,,,,,,,Belgium,Metal
Lithuania,,,,,,,,,,,,Belgium,Metal
Croatia,,,,,,,,,,,,Belgium,Metal
Hong Kong,2,1,,,,1,,,,,,Belgium,Metal
Ghana,,,,,,,,,,,,Belgium,Metal
France,26,32,45,473,51,,41,,,,,Belgium,Metal
Finland,,2,,,1,,,,2,,,Belgium,Metal
Spain,,,,,133,,,5,1,,,Belgium,Metal
Denmark,,,,,,,,,,,,Belgium,Metal
Czech Republic,,,,,,,,,,,,Belgium,Metal
Colombia,,1,,,,,,,,,,Belgium,Metal
China (People's Republic of),,1555,,,,,,,,,,Belgium,Metal
C“te d'Ivoire,,,,,,,7,,,,,Belgium,Metal
Switzerland,,105,,,,,25,,,,,Belgium,Metal
Brazil,,,,,2160,,,,,,,Belgium,Metal
Argentina,6,,2000,,,,,,,,,Belgium,Metal
