Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Italy,130108,78083,27201,53004,24691,19033,10882,95023,124009,180986,,United Kingdom,Oxide
Germany,64600,67372,53331,81819,62439,44609,42041,28237,104351,80396,,United Kingdom,Oxide
Czech Republic,66500,30900,12800,7800,3600,2500,3300,5771,849,27844,,United Kingdom,Oxide
Taiwan,31727,38280,9997,22437,3964,21245,7981,9102,6788,19956,,United Kingdom,Oxide
South Africa,57779,10201,13545,11147,8176,1829,5316,15446,10683,10749,,United Kingdom,Oxide
Slovenia,,,,1000,2000,8700,4000,11000,6633,9463,,United Kingdom,Oxide
India,5138,21588,12522,109810,42476,14144,851,1319,12670,7729,,United Kingdom,Oxide
Spain,21284,19925,12715,17720,2400,7951,1,1623,134,5601,,United Kingdom,Oxide
United States,123793,47249,18237,128923,29517,51454,11631,21668,10796,2524,,United Kingdom,Oxide
Russian Federation,11020,749,4000,1034,,5804,458,380,316,2436,,United Kingdom,Oxide
France,87622,19039,18518,35739,66265,8881,1121,3172,1724,2428,,United Kingdom,Oxide
Korea (Rep. of),1,326,63,323,327,876,312,152,68,1708,,United Kingdom,Oxide
Poland,9600,6500,5600,23900,1800,3900,3500,1400,7694,1700,,United Kingdom,Oxide
Latvia,,,,,,,,,1316,1300,,United Kingdom,Oxide
Malaysia,7825,2118,3897,2990,360,392786,360,86,627,917,,United Kingdom,Oxide
Singapore,,,,,1823,1901,1526,822,1401,611,,United Kingdom,Oxide
Lithuania,1800,1200,,700,200,800,500,,1,606,,United Kingdom,Oxide
Bahrain,,,,,,,,567,,540,,United Kingdom,Oxide
Ireland,337,227,62,474,5,11,4,19,47,511,,United Kingdom,Oxide
Turkey,140029,24827,5205,3297,61,1148,1010,,1281,504,,United Kingdom,Oxide
Peru,2380,1120,2000,2000,750,1101,1200,600,975,500,,United Kingdom,Oxide
Algeria,,,,,1,,175,14,101,500,,United Kingdom,Oxide
Portugal,,700,,800,3800,2500,2500,602,1612,472,,United Kingdom,Oxide
Colombia,8875,4575,4112,7550,1075,2297,800,1450,1325,350,,United Kingdom,Oxide
Switzerland,50,235,412,345,61,278,237,1,573,245,,United Kingdom,Oxide
Australia,,,17,1,5,1882,51,851,1,205,,United Kingdom,Oxide
Finland,1000,2800,2000,2000,1000,,152,150,120,140,,United Kingdom,Oxide
Ukraine,600,1200,,,,25,28,,,123,,United Kingdom,Oxide
Thailand,8,1,3,522,1804,66,89,183,41,101,,United Kingdom,Oxide
Belgium,102800,2400,,6500,6900,1000,1100,600,200,100,,United Kingdom,Oxide
Romania,,,,,,,,2,77,45,,United Kingdom,Oxide
Canada,13523,8692,2547,3853,650,1118,639,49,44,26,,United Kingdom,Oxide
China (People's Republic of),39043,45966,14937,34929,4,834,32,26,28,23,,United Kingdom,Oxide
Kenya,,,,160,138,59,23,21,,20,,United Kingdom,Oxide
Iceland,,,,1,85,,,,2,12,,United Kingdom,Oxide
Hong Kong,6436,9761,,,,600,4,,602,12,,United Kingdom,Oxide
Denmark,,,300,1000,,,,265,43,10,,United Kingdom,Oxide
Serbia,,,,,154,3,,14,3,7,,United Kingdom,Oxide
Belarus,,,,,,,700,300,,1,,United Kingdom,Oxide
Zambia,,,,,,,,5,,,,United Kingdom,Oxide
Viet-Nam,,,,,,0,0,0,,,,United Kingdom,Oxide
Venezuela,,,,100,,,,,,,,United Kingdom,Oxide
Tanzania (United Rep. of),,,,,5,,,,,,,United Kingdom,Oxide
Sweden,4800,2000,2100,1300,,,24900,1,1505,,,United Kingdom,Oxide
