Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United Kingdom,,,,,,,,,,,25075,Thailand,Oxide
Viet-Nam,,,,,,61982,117600,,,,,Thailand,Oxide
United States,,,,,2000,,,,,,,Thailand,Oxide
Tanzania (United Rep. of),,,,,,2540,,,,,,Thailand,Oxide
Singapore,,,,,35,300,,,,,,Thailand,Oxide
Malaysia,2056,,40,,3390,6568,600,,,,,Thailand,Oxide
Korea (Rep. of),,,,,,,,1,,760,,Thailand,Oxide
Japan,,,,500,11600,2400,375,14200,,399,,Thailand,Oxide
India,,,,2680,2637,60,,,,,,Thailand,Oxide
Indonesia,,,,,,,,,540,260,,Thailand,Oxide
Hong Kong,,,,,,,2000,,,,,Thailand,Oxide
Denmark,,,,,,,,,,,,Thailand,Oxide
Germany,100,,,,,265,,1,,,,Thailand,Oxide
China (People's Republic of),5500,,10,,,17490,,,72658,,,Thailand,Oxide
