Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Italy,551,2752,9507,15739,992,843,7984,3509,1142,12775,,Spain,Oxide
South Africa,25,,,,,,,,,10000,,Spain,Oxide
Thailand,723,222,109,151,231,42,227,255,326,1389,,Spain,Oxide
Norway,30,,,4,2,1,3,,,1383,,Spain,Oxide
Turkey,,100,,,,1,100,450,35,1025,,Spain,Oxide
Taiwan,398,479,452,1174,891,653,1284,608,852,999,,Spain,Oxide
France,10103,9037,104,102357,62247,757,22,8,1058,600,,Spain,Oxide
India,,1000,700,25500,2000,,85,,,400,,Spain,Oxide
Belarus,,,,,,,,,475,365,,Spain,Oxide
Morocco,62,254,7,8,,137,410,34,26,261,,Spain,Oxide
Germany,,2,204,4300,38,,2001,1444,312,257,,Spain,Oxide
Portugal,173200,17300,3400,5500,16300,900,700,1645,2049,212,,Spain,Oxide
United States,,,,14160,923,100657,,,,200,,Spain,Oxide
Mexico,407,4300,4701,2000,600,2302,1013,3004,27,200,,Spain,Oxide
Belgium,,,400,17000,16000,100,,500,100,200,,Spain,Oxide
Colombia,1498,15,25,11,230,62,104,60,112,56,,Spain,Oxide
Indonesia,11334,,2087,11251,14555,5820,,6529,,13,,Spain,Oxide
Russian Federation,,50,,2381,,6,12,4,4,12,,Spain,Oxide
Canada,,,20,,13,,11,50,1,10,,Spain,Oxide
Switzerland,54,6,39,58,8,2,29,,5,7,,Spain,Oxide
Costa Rica,,,,,,,,6,13,6,,Spain,Oxide
Australia,,10,,10,,,,13,5,4,,Spain,Oxide
Romania,,,,,,,,3,2,3,,Spain,Oxide
Ireland,,,,,80079,,,,,3,,Spain,Oxide
Poland,,,,,,,,7,2,2,,Spain,Oxide
Peru,1,106,,,239,1,1,1,,2,,Spain,Oxide
Serbia,,,,,1,,,2,,1,,Spain,Oxide
Paraguay,,,,,,,,,,1,,Spain,Oxide
Brazil,72575,69950,10040,24200,29,100,100,125,100,1,,Spain,Oxide
Ukraine,,,,,,,,,,,,Spain,Oxide
Tanzania (United Rep. of),,,,,,64,,,,,,Spain,Oxide
Senegal,2250,3305,9507,,,1530,,,,,,Spain,Oxide
Slovenia,,,,,,,,,,,,Spain,Oxide
Singapore,,,,,3,4,,,,,,Spain,Oxide
Sweden,,,,,,,,,,,,Spain,Oxide
Saudi Arabia,209000,226000,84000,81000,111000,137000,96000,106000,40000,,,Spain,Oxide
Philippines,,,4,,,,,479,2,,,Spain,Oxide
New Zealand,8,4,1,8,3,,,,,,,Spain,Oxide
Netherlands,300,200,,,4000,,,,4,,,Spain,Oxide
Malaysia,,,,,,,64,,,,,Spain,Oxide
Malta,,,,,,,,,,,,Spain,Oxide
Latvia,,,,,,,,,,,,Spain,Oxide
Lithuania,,,,,1000,,,,,,,Spain,Oxide
Kazakhstan,,,,,,,,,,,,Spain,Oxide
Korea (Rep. of),,,,,,5,1,9,,,,Spain,Oxide
Jordan,,,,,,1,,,,,,Spain,Oxide
Iceland,,,3,,,,,,,,,Spain,Oxide
Iran (Islamic Rep. of),,,,,,2800,3300,,,,,Spain,Oxide
Croatia,,,,,,,,,,,,Spain,Oxide
Guatemala,,1184,15391,,,,,,,,,Spain,Oxide
Greece,,,,,,,,1100,,,,Spain,Oxide
Georgia,,,1,,,,,,,,,Spain,Oxide
United Kingdom,,,,,,,,81,5,,,Spain,Oxide
Egypt,,,3576,,,42000,,,,,,Spain,Oxide
Ecuador,170,,,30,30,50,150,,,,,Spain,Oxide
Algeria,,69,,3,55,43,,107,29,,,Spain,Oxide
Czech Republic,2600,,,2000,,,100,175,,,,Spain,Oxide
Cyprus,,,,,,,,,,,,Spain,Oxide
China (People's Republic of),,113,1000,,,,,,1,,,Spain,Oxide
Chile,15,9,32,11,93,,438,1200,,,,Spain,Oxide
C?te d'Ivoire,,,,,6,1,,,36,,,Spain,Oxide
Argentina,,,5,,30,5,7,,109,,,Spain,Oxide
