Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Thailand,,,,,,,,10,60000,40000,,Estonia,Metal
United States,,,,,,,3780,,,,,Estonia,Metal
Ukraine,,,,,,,500,,,,,Estonia,Metal
Russian Federation,,,,,500,2623,5615,252,,,,Estonia,Metal
Netherlands,,,,,10000,,,,,,,Estonia,Metal
Lithuania,,,,,,,,,,,,Estonia,Metal
Japan,,,,,,500,60000,,,,,Estonia,Metal
Italy,,,500,,,,,,,,,Estonia,Metal
United Kingdom,,,,,,,4000,,,,,Estonia,Metal
France,,,,,,500,,,,,,Estonia,Metal
Germany,,,,,,15250,,,,,,Estonia,Metal
Belgium,,,,,7200,,,,,,,Estonia,Metal
