Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
China (People's Republic of),,,,,1,,42780,678998,4806344,9445256,1752000,Malaysia,Oxide
United Kingdom,,,,,,,,,,,324000,Malaysia,Oxide
Japan,,20000,,540,,,9002,1218150,1143605,507700,230500,Malaysia,Oxide
Korea (Rep. of),,,,,50,278,10,,,,10000,Malaysia,Oxide
India,78,,,1000,1100,,60,100,33,125,50,Malaysia,Oxide
Viet-Nam,,,,,,,160400,96040,,,,Malaysia,Oxide
United States,22604,21888,,,200,13000,20000,579906,840002,440000,,Malaysia,Oxide
Thailand,,1,,1004,2000,5000,,,,20,,Malaysia,Oxide
Singapore,,,,,4838,2800,1891,,1,18000,,Malaysia,Oxide
Philippines,,,,509,644,,,,,,,Malaysia,Oxide
Italy,,,,,1155,,,,,,,Malaysia,Oxide
Indonesia,,7,,7,,,,,68312,,,Malaysia,Oxide
France,,,,,,,20000,70000,5000,15000,,Malaysia,Oxide
Germany,,,,,6841,,,15944,,,,Malaysia,Oxide
Czech Republic,,,,,200,500,,,,,,Malaysia,Oxide
Belgium,,,,,,,,,,,,Malaysia,Oxide
