Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,3038,3565,3667,1011,17149,9545,6454,117,1877,8,,Canada,Oxide
Netherlands,,10200,5300,1700,,,,,2,727,,Canada,Oxide
Mexico,52,,801,,,121,40,443,40,60,,Canada,Oxide
Germany,,1,3,203,172,504,2775,259,160,460,,Canada,Oxide
Canada,2,,9,428,,238,2,208,12,29,,Canada,Oxide
Korea (Rep. of),,,,,5,13,59,21,18,9,,Canada,Oxide
France,,,,1,150,,,1400,1,5,,Canada,Oxide
Colombia,,,,,,,,,2,,,Canada,Oxide
South Africa,10,26,2,191,9,5145,7,7,10,7,,Canada,Oxide
Viet-Nam,,,,,,,0,,,,,Canada,Oxide
Taiwan,,3,,,,,,,,1,,Canada,Oxide
Thailand,,,,,,,,,,,,Canada,Oxide
Singapore,,,,,,,,,,,,Canada,Oxide
Russian Federation,,,,,,9416,,,,,,Canada,Oxide
Romania,,,,,,,,,,,,Canada,Oxide
Qatar,,,,,,,,,,1,,Canada,Oxide
Portugal,,,,,,,,,,,,Canada,Oxide
Poland,,,,,,,,,,,,Canada,Oxide
Peru,,3,,,,,,,,,,Canada,Oxide
New Zealand,,3,,,,,,1,,,,Canada,Oxide
Norway,,,,,70,,,,100,,,Canada,Oxide
Malaysia,,100,,,,,,,,45,,Canada,Oxide
Kazakhstan,,,,,,,,,,,,Canada,Oxide
Japan,,,,49500,40,,,,,,,Canada,Oxide
Italy,,,,,,2000,,180,,,,Canada,Oxide
India,100,20000,,7000,,,2,,,,,Canada,Oxide
Israel,,,,,,,,,,,,Canada,Oxide
Ireland,627,,150,,,,,,,,,Canada,Oxide
Greece,,,,,,100,,,,,,Canada,Oxide
United Kingdom,113,1301,,,77,9405,4156,900,11,,,Canada,Oxide
Finland,,,,,,,,,,,,Canada,Oxide
Spain,,13,,,,4,,,,,,Canada,Oxide
Algeria,,,5,,,,,,,,,Canada,Oxide
Czech Republic,,,,,2000,,,,,,,Canada,Oxide
Costa Rica,412,,,,,,32,8,4,,,Canada,Oxide
China (People's Republic of),,6,,,100,,50,,,,,Canada,Oxide
Switzerland,,,,316,,,,,,,,Canada,Oxide
Brazil,8520,1350,399,,2,,,,280,70,,Canada,Oxide
Belgium,,,,,,,,,,,,Canada,Oxide
Australia,,,,,,,,,,1,,Canada,Oxide
Argentina,1,,,,,3,,,1,,,Canada,Oxide
