Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Indonesia,,,517,,,16,4355,13662,36357,26611,,Japan,Metal
United States,8465,12647,10849,13596,31422,5769,40372,6375,19206,14689,,Japan,Metal
China (People's Republic of),40204,153005,2005,340,2032,20600,10177,405,82,5081,,Japan,Metal
Mexico,,,,,,,,1095,9823,3835,,Japan,Metal
Singapore,,,,,23,,,600,100,3810,,Japan,Metal
Hong Kong,718892,289351,99688,117784,3751,19116,4622,5078,2305,1623,,Japan,Metal
Malaysia,,,,,1000,630,1027,27900,2200,1020,,Japan,Metal
Taiwan,989,814,213,647,164,75,621,332,1143,335,,Japan,Metal
Korea (Rep. of),5242,798,1282,731,210,350,549,151,43,47,,Japan,Metal
Germany,100,6,,,46,23,3,25,12,21,,Japan,Metal
Czech Republic,,,,,,,,,,15,,Japan,Metal
Thailand,2000,1500,1275,1750,1500,935,,,160,,,Japan,Metal
Russian Federation,,,2,,,,,,,,,Japan,Metal
Poland,,,,,,,,,,,,Japan,Metal
Philippines,,,,,,,,22,,,,Japan,Metal
Netherlands,300,,,,,,,,,,,Japan,Metal
Italy,,,,,,15,,20,,,,Japan,Metal
United Kingdom,,,4,,,15,19121,7900,17,,,Japan,Metal
France,,,,,100,,,41,80,,,Japan,Metal
Spain,,,,,2,1,,4,,,,Japan,Metal
Ecuador,,,,20,,,,,,,,Japan,Metal
Canada,600,,72,,,,,75,,,,Japan,Metal
Brazil,,,,,,,,,,,,Japan,Metal
Belgium,12000,,6000,,,,,,,,,Japan,Metal
