Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
United States,21096028,18254757,12965566,13612600,6560882,4058143,9956560,10768348,9457677,13418900,7183195,China (People's Republic of),Oxide
Japan,26487725,24792242,11174281,18384496,11399142,5028026,6073593,9538016,9139920,10590909,5237979,China (People's Republic of),Oxide
Germany,2220100,2448676,1075891,1527143,3934410,1136787,1966361,2112932,2497973,4576010,1661943,China (People's Republic of),Oxide
Korea (Rep. of),4931104,2873137,1707879,2081855,2171791,959312,1056538,1108796,1720594,1528715,808048,China (People's Republic of),Oxide
United Kingdom,969074,1243640,229847,426066,383111,233201,210258,107494,140881,125978,600355,China (People's Republic of),Oxide
Netherlands,3675200,2996900,431300,869400,471500,607800,814900,1025797,965319,1926457,563661,China (People's Republic of),Oxide
Brazil,2490208,2112585,1225540,1056668,693095,998108,822071,1195646,681744,1235813,328860,China (People's Republic of),Oxide
Russian Federation,329351,179779,190330,111900,35300,129875,284903,303551,348019,660552,256084,China (People's Republic of),Oxide
Spain,193300,209955,92150,270001,159966,167556,327357,357366,270856,322256,167275,China (People's Republic of),Oxide
Taiwan,667376,588782,315623,534279,895544,416912,294046,750612,456169,1000437,158176,China (People's Republic of),Oxide
Poland,31500,46700,10400,79900,20800,37800,90900,180471,150220,174689,136808,China (People's Republic of),Oxide
Canada,212600,141382,139468,1235887,353953,240316,331875,68215,88397,89672,133795,China (People's Republic of),Oxide
India,327714,271260,223100,237818,205547,96470,226731,200330,328356,317446,125701,China (People's Republic of),Oxide
Belgium,413200,199900,305600,195600,146300,68700,140400,371100,215100,327900,108500,China (People's Republic of),Oxide
France,9201765,7808669,4844503,5298971,2155644,3252255,591420,132696,212967,197545,87077,China (People's Republic of),Oxide
Italy,219220,280383,147930,266790,531482,154002,195702,124489,111630,194175,65700,China (People's Republic of),Oxide
Turkey,141765,229352,160086,211562,107069,91177,147945,102871,123627,202687,60111,China (People's Republic of),Oxide
Australia,12235,6193,8171,21668,54638,87254,96937,65884,64019,77533,48701,China (People's Republic of),Oxide
Indonesia,501,22753,10314,50416,5140,21551,128449,120745,110452,145380,41640,China (People's Republic of),Oxide
Hong Kong,138316,599600,116691,1162090,879366,524110,380289,60407,54294,293704,36478,China (People's Republic of),Oxide
Thailand,49905,148835,50420,104040,78195,86301,50755,150817,116959,66808,33324,China (People's Republic of),Oxide
South Africa,27470,46029,27540,13784,24802,26306,30023,67623,107100,159628,28515,China (People's Republic of),Oxide
Switzerland,6151,5130,7306,7575,3736,13773,28316,29144,33239,38580,24702,China (People's Republic of),Oxide
Mexico,48244,56239,45861,77194,65651,58374,40052,77477,89380,146224,23363,China (People's Republic of),Oxide
Kazakhstan,240000,40001,86000,46000,20000,,1,12245,104,104,21296,China (People's Republic of),Oxide
China (People's Republic of),86501,114183,2291481,2057617,398692,111211,341433,155721,201671,127059,18931,China (People's Republic of),Oxide
Nigeria,,,,,,,,,,104610,18730,China (People's Republic of),Oxide
Colombia,2917,385,9350,500,5612,7255,1034,940,1206,3494,14504,China (People's Republic of),Oxide
Ukraine,4992,5549,1500,15454,5961,6434,6869,16242,18640,17011,8375,China (People's Republic of),Oxide
Norway,,1000,1,3987,6036,3545,58,6024,13144,39489,5552,China (People's Republic of),Oxide
Hungary,53900,1000,100,,12000,5400,9600,34714,6417,33120,3650,China (People's Republic of),Oxide
Czech Republic,23200,15200,17500,46800,2500,4300,3300,10564,341,5202,2306,China (People's Republic of),Oxide
Peru,1252,664,649,1419,4029,3130,2634,1300,2358,1657,2067,China (People's Republic of),Oxide
Belarus,,,,,,,10021,4742,7419,6652,2061,China (People's Republic of),Oxide
Finland,1000,3000,,1,14150,2,140,400,6002,6009,2006,China (People's Republic of),Oxide
Egypt,,,,289889,2271,12800,4353,477,568,1175,2000,China (People's Republic of),Oxide
Austria,,,,,,,,,,,2000,China (People's Republic of),Oxide
Greece,,400,,,3200,1600,1600,1368,900,1300,1700,China (People's Republic of),Oxide
Argentina,1507,2024,24810,2995,2906,3759,512,841,2112,2355,853,China (People's Republic of),Oxide
Serbia,,500,,,,100,370,120,1500,740,660,China (People's Republic of),Oxide
Portugal,10000,,5000,1300,1100,300,800,996,882,1030,600,China (People's Republic of),Oxide
Qatar,,6680,,,,1000,,450,5,,235,China (People's Republic of),Oxide
Ireland,7859,1664,,,7,82,,,,115,220,China (People's Republic of),Oxide
Chile,,,5300,2000,1600,310,,45,635,1206,80,China (People's Republic of),Oxide
Malaysia,288133,131020,118854,522000,418750,149600,3204,21646,26365,36003,67,China (People's Republic of),Oxide
Denmark,,100,577800,,300,100,,110,140,52,37,China (People's Republic of),Oxide
Georgia,,,,,,,,,20,,30,China (People's Republic of),Oxide
El Salvador,,,,,,259,,,,15,15,China (People's Republic of),Oxide
New Zealand,,,4,2,12,15,6,1672,193,1076,12,China (People's Republic of),Oxide
Singapore,,,,,215909,277214,4555,111,60,2,5,China (People's Republic of),Oxide
Morocco,3500,6987,5000,100,6349,4676,3334,11140,12206,15010,1,China (People's Republic of),Oxide
Algeria,601,,7,103,256,200,1,,11,202,1,China (People's Republic of),Oxide
Zambia,,,,,,,,,16750,,,China (People's Republic of),Oxide
Viet-Nam,,,,,,194320,820911,360000,,,,China (People's Republic of),Oxide
Venezuela,,,,4540,,604,284,211,,,,China (People's Republic of),Oxide
Uruguay,,90,2,,5,305,540,,1,1,,China (People's Republic of),Oxide
Togo,,,,1000,,,,,,,,China (People's Republic of),Oxide
Slovakia,,,,,,,,8,,1,,China (People's Republic of),Oxide
Slovenia,,,,,,,,,200,848,,China (People's Republic of),Oxide
Sweden,,,,,500,6600,4500,6142,10501,,,China (People's Republic of),Oxide
Saudi Arabia,73000,,,,,,,1000,,,,China (People's Republic of),Oxide
Romania,100,,,,,700,,901,,1,,China (People's Republic of),Oxide
Philippines,,,,,59,,,,,143,,China (People's Republic of),Oxide
Panama,,,,,,,,37,1010,,,China (People's Republic of),Oxide
Nicaragua,,,,,,21,,,,50,,China (People's Republic of),Oxide
Macao,,91000,,,,320000,,,,,,China (People's Republic of),Oxide
Luxembourg,,,,,,,,,20,,,China (People's Republic of),Oxide
Lithuania,,,,,1600,1700,100,,500,502,,China (People's Republic of),Oxide
Kenya,,,,,,,10,,,250,,China (People's Republic of),Oxide
Jordan,100,,,,,,,500,,,,China (People's Republic of),Oxide
Iceland,,1,,,,,,,,,,China (People's Republic of),Oxide
