Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Malaysia,,,,,,,,25183,,95545,106000,Viet-Nam,Oxide
Japan,,,,60000,294598,16625,240634,153530,122998,330826,16709,Viet-Nam,Oxide
China (People's Republic of),,75000,,4400,,,40000,10130,1278450,260000,14505,Viet-Nam,Oxide
Korea (Rep. of),,,,,,82,,1,7,9190,6243,Viet-Nam,Oxide
Spain,,,,,,,,1000,,11000,4300,Viet-Nam,Oxide
South Africa,,,,,,,,,,,,Viet-Nam,Oxide
Viet-Nam,,,,,,,201980,137194,,,,Viet-Nam,Oxide
United States,,,,,466651,,68000,,,,,Viet-Nam,Oxide
Taiwan,,,,6000,40,58301,60000,15000,,,,Viet-Nam,Oxide
Thailand,,,,,,48000,,,,,,Viet-Nam,Oxide
Russian Federation,,,,,,,10000,,,17200,,Viet-Nam,Oxide
Netherlands,,,,42000,,,,,,,,Viet-Nam,Oxide
Italy,,,,,2000,,,,,,,Viet-Nam,Oxide
India,,,,182,,2841,24043,44767,,,,Viet-Nam,Oxide
Hong Kong,,20000,,,16200,20000,186980,50878,18656,,,Viet-Nam,Oxide
France,,608700,,,,,,,,,,Viet-Nam,Oxide
Germany,,,,,,,,1150,,,,Viet-Nam,Oxide
Costa Rica,,,,,,,,15,,,,Viet-Nam,Oxide
Canada,,,,10198,,218387,,,,,,Viet-Nam,Oxide
Belgium,,,,,,12000,,,,,,Viet-Nam,Oxide
