Country,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,Exporter,Form
Estonia,1742300,,194700,39000,1597900,4250600,1643400,1920600,2561862,5650617,1968960,Russian Federation,Oxide
China (People's Republic of),428602,112500,126570,70902,,,,,36760,1417604,49698,Russian Federation,Oxide
India,,,,,,,,238800,308041,,26400,Russian Federation,Oxide
United States,345977,96322,307,13450,2647,2572,780,10734,1656,12423,24787,Russian Federation,Oxide
Belarus,,,,,,,9357,7901,6227,6942,698,Russian Federation,Oxide
United Kingdom,,2001,1084,6600,,,2,8,,19262,279,Russian Federation,Oxide
Canada,12,1,112,167,46,115,74,44,228,726,62,Russian Federation,Oxide
Korea (Rep. of),,,,,14,41,351,94,76,39,35,Russian Federation,Oxide
Ukraine,73,102,112,,95,102,,,,,25,Russian Federation,Oxide
Netherlands,29000,,,2300,,10000,200,,2,,5,Russian Federation,Oxide
Germany,100,24,3,309,185,5042,1076,43716,11,104,5,Russian Federation,Oxide
Czech Republic,,,,,,,,3,,3,2,Russian Federation,Oxide
France,690,1,,,,,6,,,10,1,Russian Federation,Oxide
South Africa,,,,4,,,,2,,,,Russian Federation,Oxide
Serbia,,,,,,,13,,,,,Russian Federation,Oxide
Viet-Nam,,,,,,,24000,12696,,,,Russian Federation,Oxide
Taiwan,,,1,,,,,,,,,Russian Federation,Oxide
Turkey,,,,,,1,,1,,,,Russian Federation,Oxide
Thailand,,,,,,,,,,,,Russian Federation,Oxide
Singapore,,,,,3,,,,,,,Russian Federation,Oxide
New Zealand,,,,,,2,,,4,1,,Russian Federation,Oxide
Norway,,,,,,,,,,522,,Russian Federation,Oxide
Mexico,,,,,,,2,,1,,,Russian Federation,Oxide
Lithuania,,,,,,,,,,,,Russian Federation,Oxide
Kazakhstan,1090718,1251303,315902,363801,,,,,,,,Russian Federation,Oxide
Japan,44610,23603,3385,384174,170185,116,,1,,2,,Russian Federation,Oxide
Italy,,,,,,1280,,,,,,Russian Federation,Oxide
Israel,,,,,,,,,,,,Russian Federation,Oxide
Hong Kong,,,,,720,,,,,,,Russian Federation,Oxide
Georgia,,,,,,,3,,1,,,Russian Federation,Oxide
Spain,,,,,,,,1909,9297,2186,,Russian Federation,Oxide
Denmark,,,,,,,,,,,,Russian Federation,Oxide
Colombia,,,,,,,,,,1,,Russian Federation,Oxide
Switzerland,,,,,,,,,1,,,Russian Federation,Oxide
Belgium,,,,,1300,,,,,,,Russian Federation,Oxide
Argentina,,,,,,,,2,,,,Russian Federation,Oxide
